장르,순위,제목,저자,출판사,가격,써머리,추천사,이 책을 좋아해야 할 이유
사회과학,15,넥서스,유발 하라리,김영사,25020,"사피엔스 후속. 정보 네트워크의 역사.","하라리가 돌아왔다.","사피엔스와 호모 데우스에 이은 하라리의 신작. 정보 네트워크가 인류 사회를 어떻게 형성했는지 추적한다. AI 시대 정보의 의미를 역사적 관점에서 이해하고 싶다면 필독."
사회과학,16,경험의 멸종,크리스틴 로젠,어크로스,17820,"디지털 시대 직접 경험의 소멸.","스크린 너머의 삶을 잃어가는 우리.","직접 경험이 줄고 간접 경험이 늘어나는 시대. 여행도 유튜브로, 요리도 먹방으로, 연애도 앱으로. 직접 경험의 가치가 사라지고 있다는 경고. 디지털 시대를 사는 모든 사람이 한 번쯤 돌아봐야 할 주제."
사회과학,17,모여라! 퀴어 청소년,퀴어 청소년 모임 짱똘,사계절,15120,"퀴어 청소년 당사자의 목소리.","당사자가 직접 쓴 이야기의 힘.","퀴어 청소년 당사자들이 직접 쓴 이야기 모음. 그 누구의 해석도 거치지 않은 날것의 목소리가 가진 힘이 있다. 다양성에 대한 이해를 넓히고 싶은 모든 독자에게."
사회과학,18,차별을 훔치는 남자들,박정훈,한겨레출판,17100,"역차별 프레임 분석.","역차별이라는 말의 허구를 파헤치다.","역차별이라는 프레임이 어떻게 만들어지고 확산되는지를 분석한다. 젠더 갈등의 구조를 이해하고 싶다면 이 책이 좋은 출발점이다."
사회과학,19,부동산은 어떻게 권력이 되었나,마이크 버드,RHK,22500,"부동산 권력의 역사.","집이 자산이 아니라 권력이 되는 과정.","부동산이 단순한 자산을 넘어 사회적 권력이 되어가는 과정을 역사적으로 추적한다. 집값 문제를 개인의 문제가 아닌 구조의 문제로 이해하게 해주는 책."
사회과학,20,초판본 군주론,마키아벨리,더스토리,2690,"권력과 리더십의 500년 고전.","2690원에 만나는 인류 최고의 권력론.","목적이 수단을 정당화한다. 500년간 읽히는 권력과 리더십의 고전. 2690원이라는 파격 가격으로 정치철학의 정수를 만날 수 있다. 짧지만 강렬하고, 고전이지만 현재적이다."
과학,1,완벽한 원시인,자청,필로틱,19800,"10만년 전 DNA 기반 뇌 리셋법.","과학과 자기계발의 융합.","진화생물학과 뇌과학을 기반으로 현대인의 오작동을 진단하고 리셋하는 과학적 자기계발서. 수렵채집 시대의 생존 메커니즘이 현대 사회에서 어떻게 역기능하는지를 과학적으로 설명한다."
과학,2,이토록 위대한 몸,줄리아 엔더스 외,21세기북스,21600,"우리 몸의 놀라운 작동 원리.","자기 몸을 이해하는 가장 재미있는 방법.","우리 몸은 경이로운 기계다. 이 책은 소화계, 면역계, 신경계 등 인체의 작동 원리를 유머와 일러스트로 쉽게 풀어낸다. 의학 지식이 없어도 재미있게 읽을 수 있는 과학 교양서. 자기 몸을 이해하면 건강 관리의 질이 달라진다."
과학,3,코스모스 (특별판),칼 세이건,사이언스북스,19800,"우주와 인류에 대한 성찰의 고전.","별들의 이야기를 통해 인류를 이해하다.","우리는 별의 먼지로 만들어졌다. 칼 세이건의 이 한 문장이 이 책의 전부다. 우주의 기원부터 생명의 탄생, 문명의 미래까지. 과학서이면서 동시에 철학서이고 문학이다. 밤하늘을 올려다보는 행위에 의미를 부여하는 인류 최고의 과학 교양서. 특별판으로 소장 가치까지."
과학,4,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬,골든래빗,21600,"구글 제미나이 AI 활용 81가지.","AI를 실무에 즉시 적용하는 실전 가이드.","구글 제미나이를 업무에 바로 적용하는 81가지 방법. 이론이 아닌 실전에서 AI를 활용하고 싶은 직장인에게 최적. 각 활용법이 독립적이라 필요한 것만 골라 읽기 좋다."
과학,5,이기적 유전자,리처드 도킨스,을유문화사,18000,"유전자 관점에서 본 진화론의 혁명.","우리는 유전자의 생존 기계다.","생물은 유전자의 생존 기계라는 도킨스의 주장은 진화론에 혁명을 가져왔다. 이타적 행동조차 유전자의 이기적 전략으로 설명하는 논리가 충격적이면서도 설득력 있다. 과학 교양의 필독서 중 하나로 사피엔스와 함께 읽으면 세상을 보는 눈이 완전히 달라진다."
과학,6,뇌는 어떻게 나를 조종하는가,크리스 나이바우어,클랩북스,16920,"좌뇌 해석자의 자아 환상.","뇌과학으로 이해하는 나.","좌뇌가 끊임없이 이야기를 지어낸다는 사실을 과학적으로 증명한다. 자기 비난과 불안의 상당 부분이 뇌의 오작동일 수 있다는 통찰이 해방감을 준다."
과학,7,모든 것은 결정되어 있다,로버트 M. 새폴스키,문학동네,38700,"자유의지에 대한 과학적 도전.","우리에게 자유의지가 있는가?","스탠포드대 신경과학자가 자유의지의 존재를 과학적으로 부정한다. 유전자, 호르몬, 뇌 구조가 우리의 행동을 결정한다면 책임이란 무엇인가? 과학과 철학의 경계를 넘나드는 이 책은 도발적이면서도 깊다. 38700원의 두꺼운 책이지만 읽기 시작하면 놓을 수 없다."
과학,8,물고기는 존재하지 않는다,룰루 밀러,곰출판,15300,"분류학의 역사와 삶의 의미.","과학서인데 왜 울컥할까.","물고기라는 분류가 과학적으로 존재하지 않는다는 사실에서 시작해 분류학의 역사, 인생의 의미, 상실과 회복까지 나아가는 독특한 과학 에세이. 과학서인데 왜 눈물이 나는지 모르겠다는 후기가 많다. 과학과 인문학의 경계를 녹인 걸작."
과학,9,사춘기는 처음이라,이광렬,클랩북스,17100,"사춘기 뇌과학.","부모와 청소년 모두를 위한 뇌과학 가이드.","사춘기 자녀와 소통이 안 되는 이유를 뇌과학으로 설명한다. 호르몬과 뇌 발달이 청소년의 행동을 어떻게 결정하는지 이해하면 갈등이 줄어든다. 부모에게는 이해의 도구를, 청소년에게는 자기 이해의 계기를 제공한다."
과학,10,고규홍의 나무,고규홍,동아시아,58500,"나무 전문가의 나무 백과.","나무를 알면 세상이 다르게 보인다.","30년간 나무만 연구한 고규홍의 나무 백과. 58500원이라는 가격에 걸맞는 방대한 사진과 지식이 담겨있다. 나무 한 그루를 제대로 알면 산책이 달라지고 계절이 달라진다. 자연과 가까워지고 싶은 모든 사람을 위한 인생 레퍼런스."
과학,11,뇌는 어떻게 변화를 거부하는가,슈테판 클라인,어크로스,17820,"변화에 저항하는 뇌의 메커니즘.","왜 변하고 싶은데 변하지 못하는가.","새해 결심이 왜 2월에 실패하는지를 뇌과학으로 설명한다. 뇌는 기본적으로 변화를 싫어한다. 에너지 효율을 위해 익숙한 패턴을 반복하려 한다. 이 메커니즘을 이해하면 변화 전략이 달라진다. 완벽한 원시인과 함께 읽으면 시너지가 크다."
과학,12,코스모스,칼 세이건,사이언스북스,45000,"우주와 인류의 이야기. 정가판.","과학 교양의 영원한 고전.","특별판이 아닌 정가판 코스모스. 칼 세이건의 원래 의도대로 풍부한 사진과 도판이 포함된 완전판이다. 과학 교양의 영원한 고전을 소장하고 싶다면 이 판본이 정답."
과학,13,멍청해지기 전에 읽는 뇌과학,이인아,오리지널스,16200,"스마트폰이 뇌를 바꾸는 방식.","디지털 치매 시대의 뇌 건강 가이드.","스마트폰과 SNS가 우리의 뇌를 어떻게 바꾸고 있는지 뇌과학으로 설명한다. 집중력 저하, 기억력 감퇴, 판단력 약화의 원인이 디지털 과의존에 있다는 경고. 멍청해지기 전에 읽어야 할 뇌과학 필독서."
과학,14,거의 모든 것의 역사 2.0,빌 브라이슨,까치,25200,"과학의 모든 분야를 유머로.","과학 전 분야를 가장 재미있게 읽는 방법.","빅뱅부터 인류의 탄생까지, 과학의 모든 분야를 빌 브라이슨 특유의 유머로 풀어낸 명작의 업데이트판. 과학이 어렵다는 편견을 깨는 책. 한 권으로 과학 교양의 기초를 세울 수 있다."
과학,15,데이터를 엮는 사람들 데이터 과학자,권정민,비제이퍼블릭,14850,"데이터 과학자의 세계.","데이터 과학 커리어를 꿈꾸는 사람을 위한 가이드.","데이터 과학자가 실제로 어떤 일을 하는지, 어떤 역량이 필요한지, 어떻게 커리어를 쌓는지를 현직자가 알려준다. AI 시대 가장 주목받는 직업 중 하나를 이해하는 입문서."
과학,16,나무 같은 사람이 되고 싶다,리즈 마빈 외,아멜리에북스,16020,"나무에서 배우는 삶의 태도.","자연에서 인생의 지혜를 찾다.","나무처럼 뿌리 깊이 내리고, 천천히 자라고, 바람에 흔들려도 부러지지 않는 삶. 나무의 생존 전략에서 인생의 태도를 배우는 과학 에세이. 자연과 인문의 경계에서 독특한 위로를 제공한다."
과학,17,정재승의 과학 콘서트 (개정증보 2판),정재승,어크로스,16920,"한국 대표 과학 교양서.","과학이 이렇게 재미있을 수 있다.","한국 과학 커뮤니케이션의 대표 주자 정재승의 스테디셀러. 일상 속 과학 원리를 콘서트처럼 재미있게 풀어낸다. 개정증보판으로 최신 내용이 추가됐다. 과학을 싫어했던 사람도 이 책을 읽으면 과학 팬이 된다."
과학,18,내 손으로 고치는 빈티지 오디오,김동희,좋은땅,22500,"빈티지 오디오 수리 가이드.","취미의 깊이를 보여주는 실전서.","빈티지 오디오를 직접 고치는 매뉴얼. 니치한 취미지만 이런 깊이 있는 취미서가 베스트셀러에 오른 건 천천히 손으로 무언가를 만드는 것에 대한 갈증이 있기 때문이다."
과학,19,과학하는 인간의 태도,카를로 로벨리,쌤앤파커스,17550,"과학적 사고방식의 본질.","과학자처럼 생각하는 법.","이론물리학자 카를로 로벨리가 말하는 과학적 사고의 본질. 과학은 지식의 축적이 아니라 끊임없는 질문과 의심의 과정이다. 과학자가 아니어도 과학적 태도를 갖추면 삶의 문제를 더 잘 풀 수 있다."
과학,20,뇌는 어떻게 노화를 늦추는가,로버트 P. 프리들랜드,현대지성,17910,"뇌 건강과 노화 방지.","뇌를 젊게 유지하는 과학적 방법.","뇌의 노화는 피할 수 없지만 늦출 수는 있다. 신경과학자가 제시하는 과학적 근거에 기반한 뇌 건강 관리법. 운동, 식단, 수면, 사회적 교류가 뇌 노화에 미치는 영향을 구체적으로 설명한다. 모든 연령대에 유용하지만 빨리 시작할수록 효과가 크다."
